College,Role,City type,College_T1,College_T2,Role_Manager,City_Metro,previous CTC,previous job changes,Graduation marks,Exp,Actual CTC,Predicted CTC,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Tier 1,Executive,Non-Metro,1,0,0,0,60057,1,61,60,73487.12624482629,79585.64616623083,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,52402,3,35,30,61597.98193060586,68120.54129065314,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,60180,2,68,18,63119.80037668905,67139.88605153948,,,,,,,,,,,
Tier 1,Manager,Non-Metro,1,0,1,0,53422,4,44,34,98586.8252797763,88975.97891441222,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,49857,3,37,37,71502.56405929202,68234.10037817995,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,48682,3,82,59,64320.669102470754,68414.9203010989,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,48516,2,37,63,77310.21815609097,75057.51692558976,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,54363,3,44,55,74825.19814897492,70907.06083053254,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,39636,3,43,23,59230.435281045466,59880.0958989479,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,65172,1,44,31,107138.140531638,97896.92045371771,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,58529,1,65,22,102763.61086073873,92458.61342875291,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,50011,2,72,18,69764.49043163109,63891.157224628216,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,50020,4,75,19,59889.141347399716,63989.03001385571,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,55764,2,64,63,82356.40781791574,77769.26661659502,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,60894,4,80,28,118651.89467975884,94838.11905005902,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,42259,4,37,19,66762.27178435681,59964.51277906586,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,59978,2,75,62,79454.73946709457,75326.93440267385,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,47129,1,41,26,66079.85009910875,68896.8980450485,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,57485,1,77,35,103774.34357263785,95359.50945688879,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,62593,3,71,60,112716.44486928236,104091.3192942453,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,48913,3,41,24,62819.16250520876,64941.216343509186,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,66101,4,81,31,55470.54981877124,68977.41922559822,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,49622,2,73,41,69510.04982211498,68319.0571896845,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,59386,4,46,37,68064.76304752263,67546.22770776466,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,66050,1,35,38,69116.92553999266,80708.47007828933,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,59492,1,69,55,86354.83986197828,82088.62263123141,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,61134,3,72,18,60456.6919564967,68900.05293079268,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,61956,4,54,28,71791.28440745956,67212.66308853019,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,46086,4,50,60,67626.88844343318,67472.69378038077,,,,,,,,,,,
Tier 2,Manager,Metro,0,1,1,1,61481,3,79,36,99794.40392512958,91784.5828035048,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,55727,3,79,18,70350.78936706354,66411.62614463377,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,61576,2,73,21,58818.76609195358,65329.807701906786,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,57563,1,64,48,86487.57594249959,98824.5292766208,,,,,,,,,,,
Tier 2,Manager,Metro,0,1,1,1,58288,3,84,36,92378.50264087028,90313.33336488417,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,55282,3,60,40,73281.55098825581,67368.64920351648,,,,,,,,,,,
Tier 3,Manager,Metro,0,0,1,1,66624,1,63,58,110438.17063632957,100953.77596238538,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,59443,3,52,58,67485.09818482336,78637.4718281164,,,,,,,,,,,
Tier 2,Manager,Metro,0,1,1,1,51937,3,64,18,92518.36538643712,82735.89351863542,,,,,,,,,,,
Tier 2,Manager,Non-Metro,0,1,1,0,46477,3,37,53,72977.62734501762,85367.41498847015,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,62470,3,60,34,64770.74983224238,69087.26321976352,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,51123,2,52,43,74845.87128543764,75071.30117590175,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,56301,3,58,25,59913.3124270125,67136.54500535037,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,46670,1,69,64,95961.18279409879,73940.46335668155,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,54375,2,82,28,60766.378783355634,63848.75966805404,,,,,,,,,,,
Tier 3,Manager,Non-Metro,0,0,1,0,45227,4,40,20,69193.9588273066,76932.60828251463,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,50787,4,81,19,66433.3951820739,64327.83970012095,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,62919,3,42,61,73410.946195465,81033.66055815388,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,51770,3,45,40,68447.631197457,69878.56046146686,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,60123,1,47,40,60185.39615951462,68909.64078707185,,,,,,,,,,,
Tier 2,Manager,Metro,0,1,1,1,51002,4,41,28,76765.01606584137,84891.38309349363,,,,,,,,,,,
Tier 2,Manager,Non-Metro,0,1,1,0,46940,1,69,27,70157.02714852891,78870.38869984765,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,49905,4,66,31,75297.33929574226,71182.43026008038,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,51505,2,55,53,76960.4764467465,73771.1088864565,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,52474,3,79,58,76204.89111365426,73981.02351341743,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,49172,2,57,44,63782.201980207916,74430.15457762008,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,56916,3,42,57,69415.10843441867,76689.47177105192,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,59386,1,38,29,64472.35677905878,65711.21214241741,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,55748,3,84,21,60815.41688328952,65783.70062884904,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,65574,2,83,22,55902.828163010396,72037.50913484982,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,58541,4,79,41,64468.29367767964,69002.23131125596,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,50672,4,79,31,76093.35759063612,71507.0441938018,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,68071,1,70,45,81430.4929318701,79308.08632717546,,,,,,,,,,,
Tier 2,Manager,Metro,0,1,1,1,58815,4,71,22,106165.07741251586,86835.15676394381,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,62493,3,74,48,67374.71261040667,72734.1265527107,,,,,,,,,,,
Tier 1,Manager,Non-Metro,1,0,1,0,60182,4,59,37,103574.44993849478,92824.21953883619,,,,,,,,,,,
Tier 3,Manager,Metro,0,0,1,1,42941,1,49,45,74191.43026481617,86741.91630220118,,,,,,,,,,,
Tier 3,Manager,Non-Metro,0,0,1,0,55505,2,40,57,100887.84757840673,91483.0841818051,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,54114,3,82,56,78715.15960510433,75614.56160954903,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,57670,1,41,46,70686.70528146237,70232.45070003712,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,54361,2,68,55,73231.75258869297,70938.43854923348,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,67083,4,39,21,66296.73183989071,66894.29038139756,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,52483,2,65,53,71738.23273563881,69561.6209989317,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,55581,4,49,59,99551.33883928094,100584.52859358491,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,62243,1,41,35,75903.41505081505,73532.18951121838,,,,,,,,,,,
Tier 1,Manager,Non-Metro,1,0,1,0,59293,1,81,64,105308.78448843579,99683.38585883858,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,59707,3,70,28,56003.61167227263,65369.51158481427,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,57726,4,84,54,68673.2909080687,76658.85181707756,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,58401,4,45,55,76028.5022537138,75895.89280430748,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,41228,2,64,56,87418.05045048965,93362.83744638797,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,40945,1,46,38,74984.0206542445,88639.00888290796,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,54794,4,47,41,66591.2927229952,71989.24625163645,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,51692,2,57,30,72088.04432054599,71918.57081753667,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,52305,1,35,18,78521.16794406927,65096.88522065559,,,,,,,,,,,
Tier 2,Manager,Non-Metro,0,1,1,0,56680,4,63,61,85688.72170371933,91996.72516374421,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,52300,4,52,34,66657.86216033885,69005.49259528996,,,,,,,,,,,
Tier 3,Manager,Metro,0,0,1,1,56710,2,47,20,67879.01581468034,86421.51070923267,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,51351,1,69,19,60069.67907555057,64853.1526041825,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,51022,2,55,26,67820.30557022037,65932.23167405548,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,52096,3,37,29,65685.01766697298,66301.99946466484,,,,,,,,,,,
Tier 2,Manager,Metro,0,1,1,1,59099,2,67,63,103305.29586882479,97867.57834944353,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,57677,4,77,54,76671.69402150314,76100.46152525958,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,59343,3,85,55,76577.9863951674,77739.48991475286,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,54767,1,35,37,66693.97510330868,75283.62823137936,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,60869,1,77,21,60125.96817143938,65079.1382999228,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,53949,4,81,52,80042.1108340967,78499.63122555002,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,48707,4,77,60,97106.1054459977,78203.14715914059,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,77911,1,50,58,87831.61697730728,85841.67658356388,,,,,,,,,,,
Tier 2,Manager,Non-Metro,0,1,1,0,54183,1,40,29,70630.94732608231,82767.11304704117,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,51099,3,71,49,67516.62664974012,66925.57732385714,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,51591,1,79,37,67573.29352464719,65017.75340697113,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,61057,1,41,44,80714.78836897845,79982.11533513985,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,48280,4,79,18,75430.51154763075,67009.50672127999,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,57606,4,78,20,54071.787774521355,63079.31024508362,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,55440,4,72,44,112826.26079459864,96546.8675991495,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,54055,1,63,47,60944.33193368613,68795.38604691587,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,49862,3,82,26,65065.524613098314,65815.86292750365,,,,,,,,,,,
Tier 1,Manager,Non-Metro,1,0,1,0,56204,2,65,19,82667.77412589182,86441.86020374074,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,65161,2,41,52,82517.5855815066,79786.68882895581,,,,,,,,,,,
Tier 3,Manager,Non-Metro,0,0,1,0,42143,3,38,32,88208.3714658321,78747.5940367723,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,57924,4,62,38,68023.41161171201,76692.38351987899,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,48755,2,69,59,73464.74883299028,74054.92217910071,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,50926,3,83,61,77222.0014566167,75462.54419319835,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,65158,3,67,53,67163.57406887089,79913.39132403451,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,46073,4,73,19,59241.32072258271,61636.78386974985,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,53110,4,43,20,72322.7908073468,65729.6683647494,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,50180,1,41,22,55226.52981071172,59660.11831815727,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,61124,3,64,19,73417.06922572792,73260.04219127286,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,54583,3,82,22,63534.870911601975,66378.95241014249,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,52400,3,72,54,90774.0352939696,68827.71620672938,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,64264,1,51,22,77666.9489566491,71583.9150170548,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,44197,3,52,34,95868.30175269296,69465.11717957215,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,56273,1,75,26,74544.56748067096,73012.22107190487,,,,,,,,,,,
Tier 2,Manager,Metro,0,1,1,1,47481,4,42,34,77150.62719236892,84848.75206141689,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,58053,1,53,29,86298.81522374462,70019.92075351207,,,,,,,,,,,
Tier 3,Manager,Metro,0,0,1,1,58071,4,76,30,74697.64027987768,89441.2264902878,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,66845,1,60,29,58695.6497571702,69079.81853651101,,,,,,,,,,,
Tier 3,Manager,Metro,0,0,1,1,60396,3,72,46,96190.71566134064,94782.48014289785,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,67056,3,55,51,63582.13224262359,74783.44492308897,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,63823,4,39,53,61586.138077202675,74641.57843191823,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,49475,3,71,19,75037.68060478051,67915.2902503469,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,50330,3,80,35,61282.09424787654,67839.80876399278,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,57858,4,43,48,71522.23325094908,73819.10811052572,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,61627,3,58,32,74596.33063613057,72818.7702163599,,,,,,,,,,,
Tier 1,Manager,Non-Metro,1,0,1,0,49733,1,76,42,77168.22490906258,89560.02962354063,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,55308,2,36,40,75028.74583739562,72146.92080279047,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,66048,4,80,44,76619.74492525854,77307.2640457311,,,,,,,,,,,
Tier 2,Manager,Metro,0,1,1,1,49405,1,63,48,75910.11212253082,89594.20516168542,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,49810,1,47,18,73056.76960548577,87458.2562712715,,,,,,,,,,,
Tier 2,Manager,Metro,0,1,1,1,56330,4,46,30,94478.70035498013,87842.85695159208,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,56485,2,36,50,69960.2484773964,69803.90806820805,,,,,,,,,,,
Tier 3,Manager,Non-Metro,0,0,1,0,47053,2,46,42,67407.05030846367,83676.80368713051,,,,,,,,,,,
Tier 2,Manager,Non-Metro,0,1,1,0,64179,4,74,18,97119.39076608463,84149.98637462608,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,60385,4,78,54,83984.4815463562,81974.3471077113,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,50963,2,45,32,76385.23282202178,68046.27541783005,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,50024,1,77,37,66216.69659904907,68391.32874800463,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,50334,2,36,47,82526.92731565231,75789.76972556952,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,61054,3,68,20,74459.24645675541,69395.08983936819,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,58629,3,39,32,62936.69859391198,66848.68465012632,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,52519,2,45,19,59425.885811043605,60718.59502142586,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,46993,3,50,27,69437.63290084632,68916.25137264832,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,67559,4,45,63,72083.4891714197,82180.7044776107,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,55944,2,53,49,69163.36128241064,78845.95057334547,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,38709,3,56,18,72747.1207405685,62757.445909862945,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,61130,3,58,35,66726.93652939252,73376.64343962274,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,54941,2,50,24,57067.629804683376,63125.589123319995,,,,,,,,,,,
Tier 1,Manager,Non-Metro,1,0,1,0,58639,2,46,63,109108.11666723239,99112.36519237014,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,52098,2,84,38,73831.46193999826,69506.99309792265,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,53618,2,52,54,79031.19752175112,79092.43834669181,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,57261,4,62,46,77631.45557354123,74396.55260578415,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,53158,4,66,41,78524.14655585516,71202.08500449535,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,53511,1,84,58,70856.2420136437,75469.87148398261,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,58408,2,56,18,61042.81054652398,62266.78332873566,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,46722,2,49,22,66407.60767616061,67566.40223793461,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,49331,1,78,44,71632.12784536631,65817.97550177937,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,53717,2,41,44,78002.77986344561,71043.11414917983,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,70258,4,38,36,115126.74586607883,101302.37037510093,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,53186,3,62,26,58559.16366857784,61878.207505053244,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,59273,1,80,30,62275.25329306589,71335.36515244505,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,59466,3,45,41,73749.43998776758,74212.16293416555,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,55639,1,40,29,55927.321822366415,64855.068239932756,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,61138,3,68,61,67174.80659077871,78753.25733449482,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,47831,4,74,36,70249.63458768206,67439.40589875382,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,51919,4,82,25,69896.21583885513,65001.71644800668,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,49310,1,47,56,68123.80322453256,69012.43007297226,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,61973,1,51,18,56131.763706405116,68075.79828189337,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,52475,3,39,19,63426.47769166933,64716.23952834752,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,62262,3,43,39,68762.59880003039,74972.12930216583,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,49159,3,57,45,65693.05206653621,65019.163454233276,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,44451,1,65,51,59721.74203691595,65443.62706768463,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,64873,3,48,64,85224.18671480319,82700.9380784842,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,55261,1,36,19,53356.71920305451,62072.543799225394,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,53405,1,46,48,67405.5392320325,67931.65854788836,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,48982,3,77,60,73639.06170114901,69686.63667991768,,,,,,,,,,,
Tier 2,Manager,Non-Metro,0,1,1,0,60286,1,73,27,91956.83817213125,84969.37641118409,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,44712,2,49,46,76451.54716664816,72929.02520030634,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,49882,2,57,28,64100.13223866961,66480.21093447831,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,46791,3,59,59,78379.78755564067,71682.82122880185,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,52585,3,78,35,77592.9381396215,92953.3243862561,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,59130,1,79,63,70314.8868673726,79910.24899336006,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,63061,4,36,40,72339.7131935296,79619.32311187245,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,55293,4,39,20,75774.95375859496,70823.2911971408,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,54222,4,40,40,71232.98217543366,70929.76590164505,,,,,,,,,,,
Tier 3,Executive,Metro,0,0,0,1,48720,3,66,24,61022.267740597155,64252.03710693642,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,49971,2,77,34,69437.40602163522,62551.70681510204,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,58774,4,70,45,73028.66894118304,74810.90784917874,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,59781,1,46,41,76811.44907600762,74516.20639228837,,,,,,,,,,,
Tier 3,Executive,Non-Metro,0,0,0,0,54690,3,71,53,65923.7166733901,70478.40737924838,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,43494,1,60,27,68676.92540332378,61957.49569483452,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,54356,1,69,26,67766.32867863828,62561.32925143097,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,44261,4,64,24,75535.50114998176,57185.59472230388,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,61570,3,74,34,75762.90757332515,73283.7725802004,,,,,,,,,,,
Tier 1,Executive,Non-Metro,1,0,0,0,59600,3,52,53,75588.76396310878,77400.48249992386,,,,,,,,,,,
Tier 1,Executive,Metro,1,0,0,1,52971,2,56,32,70086.06580045553,73029.39917425526,,,,,,,,,,,
Tier 1,Manager,Metro,1,0,1,1,57963,2,60,19,96125.1762922195,91343.48955483103,,,,,,,,,,,
Tier 2,Manager,Metro,0,1,1,1,44781,2,75,42,80753.62312149233,85802.3749147506,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,62903,4,82,55,71048.23811699847,77880.96318226156,,,,,,,,,,,
Tier 2,Executive,Metro,0,1,0,1,58282,4,78,28,71454.8954283114,68706.82209406047,,,,,,,,,,,
Tier 2,Executive,Non-Metro,0,1,0,0,66411,1,47,58,87222.87077357474,76498.8112680603,,,,,,,,,,,
